Table 1
County Name,Flown Over X Times,Lattitude Centroid,Longitude Centroid,
'Teton County',64,47.8371764984,-112.240577354,
'Currituck County',26,36.3672994836,-75.936949201,
'Dearborn County',141,39.1451918976,-84.973258532,
'Putnam County',85,41.0220807271,-84.131731929,
'San Saba County',123,31.1551977348,-98.8175760649,
'Oldham County',184,38.3994422236,-85.4483655316,
'Windsor County',82,43.5800235908,-72.5861605978,
'Keweenaw County',142,47.7152823036,-88.2521508057,
'McCormick County',63,33.8995497978,-82.3098783777,
'Mineral County',166,47.1471983625,-114.998338744,
'Putnam County',216,39.6662617907,-86.8449997676,
'Wilkes County',74,33.7819451825,-82.743226753,
'Butts County',181,33.2878507429,-83.9571695116,
'Pierce County',9,48.2496100861,-99.9718051015,
'Lumpkin County',67,34.5721889489,-84.0026558339,
'York County',72,37.2380515699,-76.4425351607,
'Isabella County',36,43.6406015599,-84.8467965535,
'Dyer County',77,36.059057801,-89.4137659493,
'Norfolk County',730,42.1709806276,-71.1838291807,
'Thurston County',757,46.9296269068,-122.832293746,
'Columbus County',336,34.2656450828,-78.6550308717,
'Taylor County',233,32.3014720068,-99.8901220928,
'Winnebago County',61,43.3775677756,-93.7341954719,
'Zapata County',32,27.0007781554,-99.1686127905,
'Boyd County',55,38.3595724655,-82.6877258112,
'Lewis County',78,35.5272807264,-87.4930956193,
'Virginia Beach city',40,36.7777632303,-76.0163281416,
'Kent County',179,41.6733545588,-71.5790218623,
'New Madrid County',99,36.5946453006,-89.6518318853,
'Skamania County',222,46.022994757,-121.91478015,
'Saguache County',226,38.0805527548,-106.281555562,
'Clay County',279,33.7855310388,-98.2085033047,
'Gonzales County',167,29.4567333341,-97.4925237545,
'Wakulla County',208,30.1477719789,-84.3756074885,
'Volusia County',3249,29.0634475051,-81.1485743573,
